sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized,location,recommended_scheme
Yes,80667,Business,Food Business,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,357959,Business,Repair Shop,2129878,1091113,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,419207,Education,NA,3335545,1519623,Postgraduate,MBA,Technical,Yes,Urban,ELS
No,389949,Business,Repair Shop,298680,141946,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,61290,Education,NA,1013095,1013095,Graduate,MBA,Professional,Yes,Rural,ELS
Yes,439643,Business,Grocery Shop,116403,20772,NA,NA,NA,NA,Urban,AMY
Yes,334898,Business,Fisheries,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,146534,Business,Fisheries,2815331,2503984,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,187360,Business,Poultry,48590,28511,NA,NA,NA,NA,Rural,AMY
Yes,395044,Business,Tailoring,4628571,3134075,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,228493,Business,Fisheries,93916,23701,NA,NA,NA,NA,Urban,AMY
Yes,311581,Business,Poultry,44442,10546,NA,NA,NA,NA,Urban,AMY
Yes,257619,Business,Repair Shop,1686412,432267,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,260442,Business,Small Manufacturing,108966,76731,NA,NA,NA,NA,Rural,MFS
Yes,113496,Business,Fisheries,416967,162957,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,256016,Business,Food Business,1385018,794795,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,224193,Education,NA,2588166,1546939,Graduate,Law,Medical,Yes,Rural,ELS
Yes,487112,Business,Tailoring,83225,81819,NA,NA,NA,NA,Urban,MFS
Yes,267092,Business,Tailoring,4353834,3079616,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,573473,Business,Grocery Shop,96965,342020,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,358869,Business,Grocery Shop,2724025,357936,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,382405,Business,Repair Shop,254695,248380,NA,NA,NA,NA,Urban,UNY
Yes,262971,Business,Computer Centre,117973,93560,NA,NA,NA,NA,Rural,MFS
Yes,249756,Business,Grocery Shop,449581,159878,NA,NA,NA,NA,Rural,UNY
Yes,429729,Education,NA,1610763,3417046,12th,BTech,Medical,No,Rural,NO_ELIGIBLE_SCHEME
Yes,269448,Business,Grocery Shop,7472238,5191815,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,450783,Business,Food Business,40479,32086,NA,NA,NA,NA,Rural,AMY
Yes,348404,Education,NA,1982358,1936579,Postgraduate,Law,Management,Yes,Rural,ELS
Yes,457577,Business,Service Business,308482,64959,NA,NA,NA,NA,Rural,UNY
Yes,360755,Business,Poultry,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,457213,Education,NA,4495708,1783101,12th,Engineering,Technical,Yes,Urban,ELS
Yes,50512,Business,Tailoring,390829,142301,NA,NA,NA,NA,Urban,UNY
Yes,55380,Business,Food Business,2717919,1295006,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,484844,Business,Repair Shop,375672,32300,NA,NA,NA,NA,Rural,UNY
Yes,253560,Business,Small Manufacturing,143114,53322,NA,NA,NA,NA,Urban,UNY
Yes,233917,Business,Fisheries,2850161,2198108,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,392635,Education,NA,904368,394390,12th,Pharmacy,Management,Yes,Rural,ELS
Yes,336086,Education,NA,1867656,1867656,Graduate,Pharmacy,Technical,Yes,Urban,ELS
Yes,109752,Business,Service Business,74267,38221,NA,NA,NA,NA,Rural,MFS
Yes,536226,Business,Grocery Shop,274499,44320,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,175825,Education,NA,1469294,632405,Graduate,Law,Medical,Yes,Rural,ELS
Yes,127794,Business,Service Business,340017,58600,NA,NA,NA,NA,Rural,UNY
Yes,390409,Education,NA,427320,427320,Postgraduate,Law,Professional,Yes,Urban,ELS
Yes,470801,Education,NA,1548362,1548362,12th,MCA,Technical,Yes,Urban,ELS
Yes,480334,Education,NA,2105425,1064243,12th,Engineering,Professional,Yes,Rural,ELS
Yes,228349,Business,Grocery Shop,130741,94012,NA,NA,NA,NA,Urban,MFS
Yes,305455,Education,NA,708061,1286453,Postgraduate,MBA,Technical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,208084,Business,Repair Shop,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,228684,Business,Fisheries,57405,16126,NA,NA,NA,NA,Rural,AMY
Yes,318863,Business,Food Business,64283,33569,NA,NA,NA,NA,Urban,MFS
Yes,100216,Business,Food Business,155742,32855,NA,NA,NA,NA,Rural,UNY
Yes,371256,Business,Small Manufacturing,462848,406958,NA,NA,NA,NA,Urban,UNY
Yes,483143,Business,Computer Centre,84046,66438,NA,NA,NA,NA,Rural,MFS
Yes,471670,Business,Small Manufacturing,233434,46347,NA,NA,NA,NA,Rural,UNY
Yes,472016,Business,Service Business,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,174752,Business,Food Business,130973,60222,NA,NA,NA,NA,Rural,MFS
Yes,281814,Business,Repair Shop,3593399,648929,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,120838,Business,Tailoring,41486,14098,NA,NA,NA,NA,Rural,MFS
Yes,211700,Business,Tailoring,99066,97442,NA,NA,NA,NA,Rural,MFS
Yes,281819,Business,Fisheries,90946,67905,NA,NA,NA,NA,Urban,MFS
Yes,228856,Business,Repair Shop,99755,42639,NA,NA,NA,NA,Urban,AMY
Yes,217194,Education,NA,954036,954036,Postgraduate,MCA,Professional,Yes,Rural,ELS
Yes,464495,Business,Transport,3100681,880228,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,403176,Education,NA,1701819,1491468,Postgraduate,Engineering,Professional,Yes,Urban,ELS
Yes,95307,Business,Food Business,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,54031,Business,Small Manufacturing,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,412297,Business,Transport,424594,58176,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,427037,Business,Tailoring,112344,50749,NA,NA,NA,NA,Urban,AMY
Yes,123035,Business,Food Business,35587,21623,NA,NA,NA,NA,Urban,AMY
Yes,269468,Education,NA,2781601,393516,Graduate,Medical,Management,Yes,Urban,ELS
Yes,459275,Business,Transport,35624,20501,NA,NA,NA,NA,Rural,AMY
Yes,475728,Education,NA,1111182,1111182,Postgraduate,BTech,Professional,Yes,Rural,ELS
Yes,81597,Business,Fisheries,39849,26207,NA,NA,NA,NA,Rural,AMY
Yes,320123,Education,NA,1675329,1675329,12th,Law,Professional,Yes,Urban,ELS
Yes,106262,Education,NA,977737,933605,Postgraduate,Medical,Management,Yes,Urban,ELS
Yes,76278,Business,Poultry,339979,330432,NA,NA,NA,NA,Rural,UNY
Yes,51001,Business,Computer Centre,428272,397131,NA,NA,NA,NA,Rural,UNY
Yes,412531,Business,Tailoring,1117777,239853,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,462279,Business,Repair Shop,70094,42611,NA,NA,NA,NA,Rural,AMY
Yes,141042,Business,Poultry,120677,85832,NA,NA,NA,NA,Rural,MFS
Yes,140366,Business,Service Business,478561,239226,NA,NA,NA,NA,Urban,UNY
Yes,306946,Education,NA,100781,100781,Postgraduate,Engineering,Medical,Yes,Urban,ELS
Yes,427881,Education,NA,1217010,248495,Graduate,Law,Management,Yes,Rural,ELS
Yes,282016,Business,Tailoring,72445,24734,NA,NA,NA,NA,Rural,AMY
Yes,499443,Business,Repair Shop,435865,272562,NA,NA,NA,NA,Urban,UNY
Yes,127902,Education,NA,1170886,1170886,12th,Nursing,Technical,Yes,Rural,ELS
Yes,222632,Business,Computer Centre,192508,109647,NA,NA,NA,NA,Rural,UNY
Yes,111260,Business,Repair Shop,54560,49006,NA,NA,NA,NA,Urban,MFS
Yes,185355,Business,Repair Shop,6585301,5102932,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,330711,Education,NA,3475814,856893,Postgraduate,Medical,Professional,Yes,Rural,ELS
Yes,273542,Business,Repair Shop,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,593659,Business,Grocery Shop,441831,42017,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,248461,Business,Grocery Shop,100284,26361,NA,NA,NA,NA,Urban,MFS
Yes,115373,Business,Poultry,235258,86125,NA,NA,NA,NA,Rural,UNY
Yes,254808,Business,Computer Centre,71218,59272,NA,NA,NA,NA,Rural,AMY
Yes,256710,Business,Computer Centre,122041,87353,NA,NA,NA,NA,Urban,MFS
Yes,348162,Education,NA,3894789,3062414,12th,Medical,Management,Yes,Rural,ELS
Yes,340398,Business,Tailoring,4183088,4072026,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,167280,Education,NA,2989660,1370089,12th,Law,Professional,Yes,Rural,ELS
Yes,241581,Business,Small Manufacturing,80703,65163,NA,NA,NA,NA,Rural,MFS
Yes,245479,Business,Food Business,497049,178956,NA,NA,NA,NA,Rural,UNY
Yes,476439,Business,Grocery Shop,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,412833,Business,Transport,340350,173103,NA,NA,NA,NA,Rural,UNY
Yes,317796,Business,Computer Centre,95031,69663,NA,NA,NA,NA,Rural,MFS
Yes,89592,Business,Computer Centre,3470867,2429009,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,237213,Business,Computer Centre,128914,57227,NA,NA,NA,NA,Rural,AMY
Yes,425572,Business,Food Business,3372608,698017,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,285023,Business,Fisheries,67401,47776,NA,NA,NA,NA,Urban,AMY
Yes,64764,Business,Service Business,425206,269116,NA,NA,NA,NA,Urban,UNY
Yes,454839,Business,Grocery Shop,433020,184850,NA,NA,NA,NA,Urban,UNY
Yes,358632,Business,Repair Shop,80272,75973,NA,NA,NA,NA,Rural,MFS
Yes,495262,Business,Small Manufacturing,327961,263316,NA,NA,NA,NA,Rural,UNY
Yes,77520,Business,Grocery Shop,113616,40518,NA,NA,NA,NA,Urban,MFS
Yes,484864,Education,NA,1347486,1315293,12th,Law,Technical,Yes,Rural,ELS
Yes,389746,Business,Repair Shop,191654,177524,NA,NA,NA,NA,Urban,UNY
No,266538,Business,Fisheries,253870,253347,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,417383,Business,Service Business,4694981,3677872,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,277625,Business,Computer Centre,60928,51478,NA,NA,NA,NA,Rural,MFS
Yes,238442,Business,Grocery Shop,996348,243412,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,239699,Business,Service Business,361491,89546,NA,NA,NA,NA,Rural,UNY
Yes,453673,Business,Transport,4495690,4032485,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,223145,Business,Grocery Shop,90776,14159,NA,NA,NA,NA,Rural,MFS
Yes,279225,Education,NA,3426796,1495002,Postgraduate,Pharmacy,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,476690,Business,Fisheries,334723,181915,NA,NA,NA,NA,Rural,UNY
Yes,287454,Business,Fisheries,35500,11192,NA,NA,NA,NA,Rural,AMY
Yes,169049,Business,Service Business,361503,57436,NA,NA,NA,NA,Urban,UNY
Yes,127445,Education,NA,3495385,1541882,Graduate,BCA,Professional,Yes,Rural,ELS
No,484451,Business,Service Business,403883,133094,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,394946,Business,Poultry,3021460,147138,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,368923,Business,Poultry,40589,20554,NA,NA,NA,NA,Rural,MFS
Yes,66202,Business,Fisheries,76818,75251,NA,NA,NA,NA,Urban,AMY
Yes,491202,Education,NA,2463942,2463942,Graduate,MCA,Medical,Yes,Urban,ELS
Yes,227002,Business,Service Business,31291,13651,NA,NA,NA,NA,Urban,AMY
Yes,184702,Business,Repair Shop,2619122,394769,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,382810,Business,Service Business,3224016,2202630,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,268401,Business,Poultry,61531,47399,NA,NA,NA,NA,Rural,MFS
Yes,488870,Business,Repair Shop,64524,24827,NA,NA,NA,NA,Rural,MFS
Yes,190951,Education,NA,1039511,877786,Graduate,Nursing,Professional,Yes,Rural,ELS
Yes,113102,Business,Food Business,51349,23738,NA,NA,NA,NA,Urban,AMY
Yes,464179,Business,Fisheries,31947,21738,NA,NA,NA,NA,Urban,MFS
Yes,114972,Education,NA,3250795,1313013,12th,MBA,Technical,Yes,Rural,ELS
Yes,203862,Business,Poultry,267348,199194,NA,NA,NA,NA,Urban,UNY
Yes,422307,Business,Tailoring,3251967,3148132,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,297026,Business,Repair Shop,488646,266086,NA,NA,NA,NA,Urban,UNY
Yes,168644,Business,Service Business,75544,46242,NA,NA,NA,NA,Rural,MFS
Yes,66794,Business,Transport,120312,47184,NA,NA,NA,NA,Urban,AMY
Yes,672678,Business,Small Manufacturing,380889,222451,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,208709,Education,NA,2930593,267263,12th,Medical,Professional,No,Rural,NO_ELIGIBLE_SCHEME
Yes,136333,Education,NA,4286226,3340783,12th,Pharmacy,Medical,Yes,Rural,ELS
Yes,260392,Business,Tailoring,342044,116496,NA,NA,NA,NA,Urban,UNY
Yes,374161,Business,Transport,45524,44885,NA,NA,NA,NA,Rural,AMY
Yes,186979,Education,NA,4338385,3720420,12th,Nursing,Medical,Yes,Rural,ELS
Yes,131014,Business,Transport,106983,105236,NA,NA,NA,NA,Rural,MFS
Yes,445397,Business,Service Business,92116,47988,NA,NA,NA,NA,Rural,MFS
Yes,54422,Business,Grocery Shop,350483,181213,NA,NA,NA,NA,Rural,UNY
Yes,82494,Education,NA,2420735,1856047,12th,BTech,Technical,Yes,Urban,ELS
Yes,445625,Business,Transport,2417255,1783557,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,304980,Business,Fisheries,6804594,6151429,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,418098,Business,Service Business,113113,47125,NA,NA,NA,NA,Rural,AMY
Yes,68541,Business,Tailoring,2344971,1774110,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,384930,Business,Transport,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,453879,Business,Repair Shop,38648,35515,NA,NA,NA,NA,Rural,AMY
Yes,314557,Education,NA,2041183,306503,Graduate,MCA,Professional,Yes,Urban,ELS
Yes,63073,Business,Food Business,88166,76321,NA,NA,NA,NA,Rural,MFS
Yes,121639,Education,NA,4083734,3364935,Postgraduate,BCA,Medical,Yes,Rural,ELS
Yes,281155,Business,Transport,6176703,6646045,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,350900,Business,Poultry,130019,20077,NA,NA,NA,NA,Urban,MFS
Yes,209407,Business,Transport,172856,145041,NA,NA,NA,NA,Urban,UNY
Yes,383540,Business,Fisheries,2078197,799551,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,332135,Business,Grocery Shop,129937,61483,NA,NA,NA,NA,Rural,MFS
Yes,121035,Business,Repair Shop,90012,24021,NA,NA,NA,NA,Rural,MFS
Yes,219041,Business,Service Business,79510,61157,NA,NA,NA,NA,Rural,MFS
Yes,84883,Business,Computer Centre,4833914,413347,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,66769,Business,Small Manufacturing,6903958,6494837,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,392617,Business,Service Business,97694,72098,NA,NA,NA,NA,Urban,AMY
Yes,404186,Business,Tailoring,233426,217524,NA,NA,NA,NA,Rural,UNY
Yes,290166,Business,Computer Centre,4143982,1351468,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,129462,Business,Transport,155033,131418,NA,NA,NA,NA,Urban,UNY
Yes,480948,Business,Service Business,214862,137148,NA,NA,NA,NA,Rural,UNY
Yes,349200,Education,NA,293808,293808,Postgraduate,BCA,Medical,Yes,Rural,ELS
Yes,129770,Business,Tailoring,72027,11271,NA,NA,NA,NA,Rural,MFS
Yes,417203,Education,NA,2330638,774698,Postgraduate,BCA,Technical,Yes,Urban,ELS
Yes,371321,Business,Transport,2191073,85093,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,194384,Business,Repair Shop,189554,138025,NA,NA,NA,NA,Rural,UNY
Yes,439004,Business,Poultry,97973,29841,NA,NA,NA,NA,Urban,AMY
Yes,197835,Education,NA,937246,937246,Postgraduate,BCA,Technical,Yes,Urban,ELS
Yes,84585,Business,Small Manufacturing,4555121,2019612,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,246568,Business,Fisheries,4638893,1789624,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,435592,Business,Poultry,39441,11208,NA,NA,NA,NA,Urban,MFS
Yes,285214,Business,Service Business,440208,158970,NA,NA,NA,NA,Rural,UNY
Yes,279652,Education,NA,2402771,1994237,12th,Nursing,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,183379,Business,Tailoring,3798943,2618147,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,324717,Business,Small Manufacturing,151920,77072,NA,NA,NA,NA,Urban,UNY
Yes,413105,Education,NA,4026674,510583,Graduate,Pharmacy,Management,Yes,Urban,ELS
Yes,103625,Business,Transport,6379595,5387027,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
No,219588,Business,Repair Shop,71448,101560,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,415757,Business,Computer Centre,135671,106744,NA,NA,NA,NA,Rural,MFS
Yes,421143,Business,Poultry,45655,10830,NA,NA,NA,NA,Rural,MFS
Yes,73820,Business,Computer Centre,3112281,1858195,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,290063,Business,Fisheries,208708,63405,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,393416,Business,Tailoring,3309055,636523,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,292138,Education,NA,2737913,2564333,Postgraduate,Law,Medical,Yes,Rural,ELS
Yes,477326,Business,Transport,87098,63205,NA,NA,NA,NA,Rural,AMY
Yes,54124,Business,Transport,87986,60917,NA,NA,NA,NA,Urban,MFS
Yes,110017,Business,Grocery Shop,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,362713,Business,Fisheries,4432272,2746996,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,364255,Business,Poultry,3787920,3727180,NA,NA,NA,NA,Rural,TERM_LOAN
No,148302,Business,Transport,187101,378724,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,442397,Business,Repair Shop,398071,228324,NA,NA,NA,NA,Rural,UNY
Yes,180527,Business,Transport,130682,103674,NA,NA,NA,NA,Urban,MFS
Yes,405753,Education,NA,2017591,1159389,Graduate,Pharmacy,Management,Yes,Urban,ELS
Yes,384089,Business,Service Business,477110,300100,NA,NA,NA,NA,Urban,UNY
No,487294,Business,Repair Shop,370937,246701,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,345080,Business,Tailoring,423080,141545,NA,NA,NA,NA,Urban,UNY
Yes,271591,Education,NA,3068040,821481,Postgraduate,BTech,Medical,Yes,Urban,ELS
Yes,322876,Business,Small Manufacturing,81117,26515,NA,NA,NA,NA,Urban,MFS
Yes,688113,Business,Poultry,213292,209871,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,312165,Business,Tailoring,7605962,6739811,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,369275,Business,Fisheries,113748,76540,NA,NA,NA,NA,Rural,MFS
Yes,301054,Education,NA,4302310,1637553,Postgraduate,MCA,Management,Yes,Urban,ELS
Yes,476252,Business,Computer Centre,1450884,828747,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,425860,Business,Service Business,245448,84142,NA,NA,NA,NA,Rural,UNY
Yes,279535,Business,Fisheries,856379,107854,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,443286,Education,NA,3050317,208477,Postgraduate,Nursing,Management,No,Rural,NO_ELIGIBLE_SCHEME
Yes,159853,Business,Computer Centre,1448089,175648,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,405668,Business,Tailoring,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,70630,Business,Computer Centre,3837770,1273565,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,351563,Education,NA,4405889,569814,Graduate,MCA,Technical,Yes,Urban,ELS
Yes,458261,Education,NA,2310736,2310736,Graduate,BCA,Management,Yes,Rural,ELS
Yes,244817,Education,NA,3278908,3278908,12th,MBA,Management,Yes,Rural,ELS
Yes,132593,Business,Fisheries,41118,35048,NA,NA,NA,NA,Rural,AMY
Yes,59564,Business,Food Business,155779,89398,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,131833,Education,NA,595561,595561,Postgraduate,BTech,Professional,Yes,Urban,ELS
Yes,361127,Business,Tailoring,119630,26827,NA,NA,NA,NA,Urban,AMY
No,92762,Business,Transport,170257,114095,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,88230,Business,Grocery Shop,43538,12284,NA,NA,NA,NA,Urban,MFS
Yes,93011,Business,Repair Shop,123468,19634,NA,NA,NA,NA,Rural,MFS
Yes,487735,Education,NA,1977967,3234023,Graduate,BTech,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,58748,Business,Poultry,2505806,482481,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,373390,Business,Food Business,62949,31908,NA,NA,NA,NA,Rural,MFS
Yes,139976,Business,Transport,301461,162580,NA,NA,NA,NA,Urban,UNY
Yes,281494,Education,NA,3844397,1336021,Graduate,Nursing,Professional,Yes,Urban,ELS
Yes,87327,Business,Computer Centre,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,253369,Business,Transport,2508009,717826,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,251401,Business,Poultry,96972,22528,NA,NA,NA,NA,Urban,AMY
Yes,219586,Business,Food Business,81520,64206,NA,NA,NA,NA,Rural,MFS
Yes,270387,Business,Computer Centre,480131,310577,NA,NA,NA,NA,Rural,UNY
Yes,68786,Business,Small Manufacturing,82879,64046,NA,NA,NA,NA,Rural,MFS
Yes,479581,Business,Transport,98566,96100,NA,NA,NA,NA,Rural,AMY
Yes,196067,Business,Small Manufacturing,310937,145828,NA,NA,NA,NA,Urban,UNY
Yes,390012,Business,Fisheries,845140,690040,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,186962,Education,NA,1654871,1654871,Graduate,Engineering,Management,Yes,Urban,ELS
Yes,778361,Business,Repair Shop,452848,294339,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,309950,Business,Computer Centre,98121,27814,NA,NA,NA,NA,Urban,MFS
Yes,124120,Business,Grocery Shop,102551,82754,NA,NA,NA,NA,Rural,MFS
Yes,104345,Business,Grocery Shop,344548,39548,NA,NA,NA,NA,Rural,UNY
Yes,643776,Business,Transport,399987,160782,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,284618,Business,Transport,77187,69297,NA,NA,NA,NA,Rural,MFS
Yes,58408,Business,Tailoring,6332289,5598759,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,289888,Business,Grocery Shop,72727,22915,NA,NA,NA,NA,Urban,MFS
Yes,207514,Business,Computer Centre,86441,27842,NA,NA,NA,NA,Rural,MFS
Yes,394519,Education,NA,3794576,1981262,12th,Law,Professional,Yes,Urban,ELS
Yes,384020,Business,Poultry,48927,28799,NA,NA,NA,NA,Urban,AMY
Yes,398901,Business,Poultry,117897,26134,NA,NA,NA,NA,Urban,AMY
Yes,586938,Business,Food Business,67962,88453,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,342087,Education,NA,638083,638083,Postgraduate,Law,Technical,Yes,Rural,ELS
Yes,365974,Business,Tailoring,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,323042,Business,Food Business,7798560,6884563,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,148251,Education,NA,1163951,1163951,Postgraduate,Medical,Professional,Yes,Rural,ELS
Yes,210356,Education,NA,4425842,267050,12th,BTech,Management,Yes,Rural,ELS
Yes,195930,Business,Repair Shop,90225,28355,NA,NA,NA,NA,Urban,AMY
Yes,186859,Business,Repair Shop,439392,199390,NA,NA,NA,NA,Urban,UNY
Yes,254202,Business,Grocery Shop,3026664,1469484,NA,NA,NA,NA,Rural,TERM_LOAN
No,405234,Business,Fisheries,231145,245954,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,481335,Business,Fisheries,69438,15914,NA,NA,NA,NA,Urban,MFS
Yes,139637,Business,Poultry,430531,195248,NA,NA,NA,NA,Urban,UNY
Yes,407576,Business,Transport,128121,14236,NA,NA,NA,NA,Urban,AMY
Yes,499315,Business,Service Business,82551,63612,NA,NA,NA,NA,Rural,AMY
Yes,177447,Business,Repair Shop,7944609,6955920,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,349312,Business,Transport,184374,182492,NA,NA,NA,NA,Urban,UNY
Yes,367105,Business,Fisheries,65697,28465,NA,NA,NA,NA,Urban,MFS
Yes,409797,Business,Grocery Shop,420053,363489,NA,NA,NA,NA,Urban,UNY
Yes,460623,Education,NA,2264617,1311862,Postgraduate,Law,Management,No,Urban,NO_ELIGIBLE_SCHEME
Yes,129670,Education,NA,3433911,3433911,12th,Law,Management,Yes,Rural,ELS
Yes,54733,Education,NA,1167088,1167088,12th,BTech,Management,Yes,Urban,ELS
Yes,405367,Business,Tailoring,4240854,958512,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,267877,Business,Food Business,1014607,159050,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,434132,Business,Repair Shop,39248,30629,NA,NA,NA,NA,Rural,AMY
Yes,184336,Business,Grocery Shop,126482,88275,NA,NA,NA,NA,Rural,MFS
Yes,442266,Business,Grocery Shop,89745,51263,NA,NA,NA,NA,Rural,AMY
Yes,151255,Business,Transport,33101,31627,NA,NA,NA,NA,Urban,MFS
Yes,418478,Business,Grocery Shop,287886,136086,NA,NA,NA,NA,Rural,UNY
Yes,494200,Education,NA,275570,275570,12th,Nursing,Management,Yes,Urban,ELS
Yes,281840,Business,Repair Shop,375815,307546,NA,NA,NA,NA,Urban,UNY
Yes,317136,Business,Fisheries,97862,89551,NA,NA,NA,NA,Urban,MFS
Yes,287748,Business,Service Business,51983,32457,NA,NA,NA,NA,Rural,MFS
Yes,431415,Business,Repair Shop,3722724,2294698,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,466258,Education,NA,1115658,1115658,Postgraduate,Engineering,Medical,Yes,Urban,ELS
Yes,51166,Education,NA,1481519,1385554,12th,Engineering,Technical,Yes,Rural,ELS
Yes,413447,Business,Fisheries,113724,39232,NA,NA,NA,NA,Urban,AMY
Yes,326714,Business,Service Business,138397,46671,NA,NA,NA,NA,Rural,MFS
Yes,286794,Business,Tailoring,45619,28702,NA,NA,NA,NA,Urban,AMY
